ID_TimKiem,Tên chính,Tên quốc tế,Mã số thuế,Địa chỉ
0107973996,CÔNG TY TNHH ĐIỆN TỬ VIỄN THÔNG KHÔI NGUYÊN,KHOI NGUYEN TELECOMMUNICATION ELECTRONIC COMPANY LIMITED,0107973996,"Số 146 Phố Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam"
0300588569,CÔNG TY CỔ PHẦN SỮA VIỆT NAM,VIETNAM DAIRY PRODUCTS JOINT STOCK COMPANY,0300588569,"10 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam"
